epoch,loss,AUPR,AUROC
1,0.6957224905490875,0.49306513533302593,0.4779334580494481
2,0.6942577362060547,0.513375741014846,0.5139984332254638
3,0.6937572062015533,0.5246185689782888,0.5461610560559362
4,0.692963033914566,0.5490413842214361,0.5562243943287019
5,0.6927159428596497,0.5543145558529997,0.5632769508802566
6,0.692031055688858,0.5673774580470397,0.5668304029600821
7,0.6920306384563446,0.5523162721565997,0.5659477450513664
8,0.6900697648525238,0.5697644988491983,0.5783185192004119
9,0.6878524720668793,0.5771786554421099,0.5869084787266605
10,0.6854130029678345,0.5888960589486074,0.5956012980067495
11,0.680411159992218,0.6089587553397191,0.6171572141591485
12,0.6772483885288239,0.6304814236143574,0.6290245204909662
13,0.6753025949001312,0.6154071261577196,0.6157491200156593
14,0.6781279444694519,0.6337303619510677,0.6479623764746854
15,0.6666546761989594,0.657104913262412,0.6609768757887879
16,0.6599213480949402,0.6694222066504709,0.673911344338773
17,0.6525518894195557,0.6707246789276058,0.6778054610273861
18,0.6406972408294678,0.6976923388558371,0.7102953300033946
19,0.6250671744346619,0.723304552810104,0.7270728664579753
20,0.6515234112739563,0.7085282715408344,0.708893781330443
21,0.6348187923431396,0.7176241574754152,0.73590673865807
22,0.6258136332035065,0.7402378526479503,0.7491079130313227
23,0.5998900830745697,0.7507497998139285,0.7619328309836331
24,0.619177371263504,0.7286737449154379,0.7448668352923672
25,0.5900290012359619,0.7468603768979545,0.7683501967263698
26,0.57696333527565,0.7758374422440644,0.7884601018929377
27,0.5663363337516785,0.7936100021730692,0.8022289622603103
28,0.558752030134201,0.7814496512614156,0.7965564386074374
29,0.5421053469181061,0.8061569997624857,0.8138672824501701
30,0.5379469096660614,0.8040930247605342,0.8189470463243064
31,0.5155156701803207,0.8217951244303334,0.8270475172796257
32,0.5124457776546478,0.8312443145975058,0.838954840371799
33,0.4986664950847626,0.8431435233046406,0.8477345865815817
34,0.4871632754802704,0.8466433079727719,0.8473691685490525
35,0.4813545197248459,0.8564733731711656,0.8604401401306624
36,0.4646427035331726,0.8633673232580419,0.8672111228058913
37,0.4764508754014969,0.858792862368468,0.8614186874728142
38,0.462828665971756,0.8676274632251983,0.870940490430622
39,0.44979017972946167,0.8779462462340456,0.878134708713221
40,0.444943830370903,0.8838453696867202,0.8822977078155205
41,0.44668105244636536,0.8797573227127512,0.8807808814451745
42,0.43675023317337036,0.8863017150048978,0.8827944256219642
43,0.43474896252155304,0.8880467402745873,0.8874644136910546
44,0.43101002275943756,0.890398400446744,0.8886892020051483
45,0.4109535366296768,0.8944904032793498,0.8923695511262356
46,0.39668774604797363,0.9012260895051654,0.8976475997088234
47,0.42034102976322174,0.9002902139786549,0.8977446292537986
48,0.39774730801582336,0.9038644296169759,0.8996639705797256
49,0.40560072660446167,0.899123632412639,0.8951561820356677
50,0.4064283072948456,0.8982525057739299,0.8968267682814798
51,0.40013355016708374,0.8976745505787846,0.894920263488929
52,0.38825957477092743,0.9046043248069172,0.8997723788793786
53,0.37367765605449677,0.9082774370107407,0.9033339155717978
54,0.3966858386993408,0.9072887508997115,0.9018809481667052
55,0.39098721742630005,0.9134452283796959,0.9084333011472432
56,0.3835660219192505,0.9126834496953629,0.9075202254117365
57,0.3826332241296768,0.909180355531295,0.9037750951174852
58,0.37964683771133423,0.9105142102288946,0.9069881613453202
59,0.38732948899269104,0.9119524781447055,0.9060529412560361
60,0.3751627951860428,0.9119868588820147,0.9076354982133603
